m/z,Formula,Name,Level
-19.01894,-H-H2O,Water,1
-1.00837,-H,Proton,0
20.97356,-2H+Na,Sodium,0
36.9475,-2H+K,Potassium,0
34.9694,+{35Cl},Chloride,0
36.96645,+{37Cl},Chloride,1
45.99345,+NO2,Nitrite,1
61.98836,+NO3,Nitrate,0
79.95736,+SO3,SO3,1
96.9601,+HSO4,Sulphuric,0
112.98559,+CF3COO,Trifluoroacetate,1
160.89694,+CCl3COO,Trichloroacetate,1
